"","Cresc.5a","DY","Div.Brut/Pat.","EBITDA","EV/EBIT","Liq.2m.","Liq.Corr.","Mrg.Liq.","P/Ativ.Circ.Liq.","P/Ativo","P/Cap.Giro","P/EBIT","P/L","P/VP","PSR","Pat.Liq","ROE","ROIC","cotacao","dateCreated","names"
"QUAL3","22,31%","8,36%","0,24","29,73%","9,85","28.406.500,00","0,87","21,09%","-11,93","1,523","-37,23","9,85","14,43","2,51","2,927","2.229.250.000,00","17,42%","19,42%","20,10",2017-02-18,"QUAL3"
"RADL3","20,46%","0,90%","0,13","6,36%","32,34","59.419.300,00","1,57","4,11%","32,32","4,098","19,04","32,19","49,72","7,75","2,046","2.812.470.000,00","15,59%","18,11%","65,99",2017-02-18,"RADL3"
"RANI3","13,36%","0,00%","2,06","8,50%","18,00","2.985,33","1,17","-2,90%","-0,60","0,275","6,95","7,07","-20,68","1,03","0,601","452.270.000,00","-4,99%","4,64%","2,80",2017-02-18,"RANI3"
"RANI4","13,36%","0,00%","2,06","8,50%","18,00","232,74","1,17","-2,90%","-0,60","0,275","6,95","7,07","-20,68","1,03","0,601","452.270.000,00","-4,99%","4,64%","2,80",2017-02-18,"RANI4"
"RAPT3","-6,93%","0,00%","1,55","2,35%","26,54","11.783,60","2,58","0,39%","16,05","0,234","0,63","16,90","-28,12","0,76","0,397","1.466.030.000,00","-2,71%","2,23%","3,23",2017-02-18,"RAPT3"
"RAPT4","-6,93%","0,00%","1,55","2,35%","34,70","7.317.880,00","2,58","0,39%","23,79","0,347","0,93","25,06","-41,70","1,13","0,588","1.466.030.000,00","-2,71%","2,23%","4,79",2017-02-18,"RAPT4"
"RCSL4","-51,38%","0,00%","-0,16","-144,26%","-70,69","309.533,00","0,01","-2.889,53%","-0,32","1,255","-0,58","-51,76","-2,59","-0,43","74,673","-103.982.000,00","16,44%","-2,90%","1,16",2017-02-18,"RCSL4"
"RDNI3","-25,16%","0,00%","0,00","5,88%","33,43","51.399,60","0,00","7,04%","0,00","0,283","0,00","23,48","19,61","0,40","1,380","767.557.000,00","2,04%","0,00%","7,00",2017-02-18,"RDNI3"
"REDE3","3,78%","1,96%","1,63","6,81%","14,65","3.485,43","1,18","2,90%","-0,80","0,381","9,33","9,33","27,32","2,06","0,635","2.472.880.000,00","7,55%","4,75%","2,48",2017-02-18,"REDE3"
"REDE4","3,78%","2,18%","1,63","6,81%","14,54","2.940,52","1,18","2,90%","-0,80","0,376","9,22","9,21","26,99","2,04","0,627","2.472.880.000,00","7,55%","4,75%","2,45",2017-02-18,"REDE4"
"RENT3","8,21%","2,24%","1,72","17,25%","14,00","48.726.900,00","1,22","9,22%","-2,90","1,163","21,51","11,26","21,08","3,93","1,943","2.196.990.000,00","18,63%","15,91%","40,73",2017-02-18,"RENT3"
"RLOG3","72,87%","4.327,62%","4,85","23,79%","8,38","1.774.300,00","0,78","-8,34%","-0,17","0,107","-3,55","1,97","-17,51","1,48","0,469","1.661.350.000,00","-8,48%","5,54%","6,73",2017-02-18,"RLOG3"
"RNEW11","72,24%","0,00%","1,19","2,24%","234,26","280.623,00","0,09","-80,33%","-0,21","0,123","-0,50","49,66","-1,65","0,31","1,111","2.330.190.000,00","-19,01%","0,27%","6,09",2017-02-18,"RNEW11"
"ROMI3","-1,95%","0,72%","0,55","-7,70%","-9,40","290.538,00","2,14","-6,72%","1,55","0,200","0,65","-4,80","-5,46","0,36","0,369","599.962.000,00","-6,62%","-4,87%","3,45",2017-02-18,"ROMI3"
"RPAD3","-75,78%","12,03%","0,00","0,00%","0,00","1.107,83","0,00","0,00%","0,00","0,000","0,00","0,00","0,00","0,00","0,000","0,00","0,00%","0,00%","2,50",2017-02-18,"RPAD3"
"RPAD5","-75,78%","3,15%","0,00","0,00%","0,00","5.889,67","0,00","0,00%","0,00","0,000","0,00","0,00","0,00","0,00","0,000","0,00","0,00%","0,00%","4,70",2017-02-18,"RPAD5"
"RPAD6","-75,78%","5,45%","0,00","0,00%","0,00","702,79","0,00","0,00%","0,00","0,000","0,00","0,00","0,00","0,00","0,000","0,00","0,00%","0,00%","2,72",2017-02-18,"RPAD6"
"RPMG3","-34,28%","0,00%","-0,03","-46,76%","-1,84","232.169,00","0,20","-65,04%","-0,31","1,392","-0,64","-1,71","-1,23","-0,34","0,800","-1.790.640.000,00","27,67%","-84,19%","9,00",2017-02-18,"RPMG3"
"RSID3","-31,84%","0,00%","2,53","-35,33%","-9,93","7.844.860,00","0,81","-104,57%","-0,08","0,032","-0,33","-0,77","-0,26","0,20","0,270","801.434.000,00","-75,85%","-4,35%","9,37",2017-02-18,"RSID3"
"RUMO3","0,00%","0,00%","1,38","23,92%","14,58","61.872.000,00","0,78","-8,36%","-0,80","0,506","-16,82","9,31","-24,40","2,00","2,227","5.842.490.000,00","-8,21%","5,94%","8,74",2017-02-18,"RUMO3"
"SANB11","-5,74%","3,89%","0,00","0,00%","0,00","33.606.200,00","0,00","0,00%","0,00","0,000","0,00","0,00","24,45","2,34","0,000","57.754.600.000,00","9,56%","0,00%","35,70",2017-02-18,"SANB11"
"SANB3","-5,74%","2,97%","0,00","0,00%","0,00","159.645,00","0,00","0,00%","0,00","0,000","0,00","0,00","30,48","2,91","0,000","57.754.600.000,00","9,56%","0,00%","22,25",2017-02-18,"SANB3"
"SANB4","-5,74%","5,58%","0,00","0,00%","0,00","229.754,00","0,00","0,00%","0,00","0,000","0,00","0,00","17,87","1,71","0,000","57.754.600.000,00","9,56%","0,00%","13,05",2017-02-18,"SANB4"
"SAPR4","12,89%","3,98%","0,56","33,45%","8,26","53.222.200,00","1,35","18,03%","-2,26","0,797","22,15","6,47","12,01","1,57","2,166","4.808.670.000,00","13,04%","13,40%","14,95",2017-02-18,"SAPR4"
"SBSP3","2,60%","0,64%","0,00","0,00%","0,00","42.429.600,00","0,00","0,00%","0,00","0,666","0,00","0,00","0,00","1,51","0,000","15.524.300.000,00","0,00%","0,00%","34,38",2017-02-18,"SBSP3"
"SCAR3","-4,20%","0,65%","1,26","66,15%","10,66","993.685,00","2,14","17,69%","-1,31","0,582","8,91","6,01","22,63","1,34","3,976","1.333.950.000,00","5,93%","10,70%","31,02",2017-02-18,"SCAR3"
"SCLO4","38,53%","0,00%","-0,51","-255,63%","-38,79","443,26","0,01","-1.996,54%","-0,00","0,005","-0,00","-0,21","-0,04","-0,00","0,546","-175.068.000,00","7,97%","-2,46%","0,51",2017-02-18,"SCLO4"
"SEDU3","14,13%","0,00%","2,04","2,83%","89,82","427.695,00","1,79","-51,64%","-2,05","0,659","3,46","57,70","-3,17","2,71","1,634","818.553.000,00","-85,50%","1,45%","8,50",2017-02-18,"SEDU3"
"SEER3","9,77%","1,01%","0,38","24,54%","8,60","5.631.260,00","2,12","18,75%","-6,56","1,136","6,05","8,63","11,30","2,41","2,119","952.479.000,00","21,35%","16,38%","18,35",2017-02-18,"SEER3"
"SGAS3","-16,38%","1,52%","0,00","-8,07%","-4,45","972,55","4,87","-3,45%","2,09","0,378","1,49","-5,50","-15,84","0,44","0,444","426.713.000,00","-2,77%","-7,55%","5,15",2017-02-18,"SGAS3"
"SGAS4","-16,38%","3,30%","0,00","-8,07%","-1,74","46.934,60","4,87","-3,45%","1,06","0,192","0,75","-2,79","-8,03","0,22","0,225","426.713.000,00","-2,77%","-7,55%","2,61",2017-02-18,"SGAS4"
"SGPS3","8,13%","0,00%","0,02","8,70%","2,91","1.941.350,00","0,06","-1,14%","-5,42","0,382","-19,85","2,77","-21,19","0,41","0,241","1.001.580.000,00","-1,95%","13,80%","8,29",2017-02-18,"SGPS3"
"SHOW3","-0,06%","0,43%","0,15","6,52%","8,42","376.639,00","1,06","3,28%","-6,45","0,930","62,14","8,95","17,78","1,63","0,583","281.061.000,00","9,19%","12,73%","6,80",2017-02-18,"SHOW3"
"SHUL4","-2,66%","2,40%","0,76","7,74%","9,35","402.272,00","2,80","5,84%","3,58","0,359","0,89","7,61","10,08","0,76","0,589","457.008.000,00","7,55%","6,80%","5,45",2017-02-18,"SHUL4"
"SJOS4","0,00%","0,00%","0,00","0,00%","-15,98","1.641,90","0,00","0,00%","0,00","0,296","0,00","-0,97","-0,16","-0,01","0,000","-167.101.000,00","6,20%","0,00%","0,12",2017-02-18,"SJOS4"
"SLCE3","10,92%","3,45%","0,77","-0,16%","-1.112,67","2.657.060,00","1,35","-3,91%","-2,99","0,346","3,53","-654,91","-36,08","0,74","1,065","2.326.010.000,00","-2,05%","-0,06%","17,37",2017-02-18,"SLCE3"
"SLED3","-3,14%","0,00%","0,74","-7,26%","-4,20","496,00","1,78","8,56%","1,02","0,151","0,47","-1,59","1,34","0,36","0,115","518.914.000,00","26,76%","-13,16%","6,99",2017-02-18,"SLED3"
"SLED4","-3,14%","0,00%","0,74","-7,26%","-3,72","1.195.180,00","1,78","8,56%","0,71","0,105","0,33","-1,10","0,93","0,25","0,080","518.914.000,00","26,76%","-13,16%","4,86",2017-02-18,"SLED4"
"SMLE3","40,38%","0,32%","0,00","39,08%","10,59","28.400.500,00","1,33","35,42%","57,18","3,617","19,82","11,52","12,71","10,97","4,502","635.347.000,00","86,30%","48,53%","56,38",2017-02-18,"SMLE3"
"SMTO3","13,07%","0,83%","1,14","16,37%","23,49","11.708.400,00","1,64","9,78%","-2,82","0,871","7,50","16,69","27,93","2,22","2,731","3.020.880.000,00","7,96%","5,91%","19,75",2017-02-18,"SMTO3"
"SNSL3","18,08%","1,46%","0,24","4,79%","34,32","160.829,00","2,32","12,53%","4,61","1,634","4,14","45,52","17,40","2,47","2,179","70.236.000,00","14,18%","8,34%","14,70",2017-02-18,"SNSL3"
"SNSY5","-3,06%","0,00%","-0,09","-18,44%","-1,06","2.350,55","1,26","-40,44%","-0,01","0,011","0,10","-0,07","-0,04","-0,01","0,013","-705.623.000,00","18,91%","-17,31%","24,50",2017-02-18,"SNSY5"
"SOND5","-1,56%","0,00%","0,00","-15,86%","-1,58","149,50","2,67","-11,78%","1,52","0,612","1,42","-3,32","-4,47","0,86","0,527","60.187.000,00","-19,20%","-28,14%","20,99",2017-02-18,"SOND5"
"SOND6","-1,56%","0,00%","0,00","-15,86%","-1,26","90,48","2,67","-11,78%","1,37","0,554","1,29","-3,01","-4,04","0,78","0,477","60.187.000,00","-19,20%","-28,14%","19,00",2017-02-18,"SOND6"
"SPRI3","-18,65%","0,00%","0,00","-0,02%","-6.067,32","2.624,48","4,57","-2,74%","1,84","0,444","1,60","-7.789,32","-18,02","0,56","1,298","70.163.000,00","-3,08%","-0,01%","15,40",2017-02-18,"SPRI3"
"SPRI5","-18,65%","0,00%","0,00","-0,02%","-2.364,86","39,10","4,57","-2,74%","0,96","0,233","0,84","-4.086,86","-9,46","0,29","0,681","70.163.000,00","-3,08%","-0,01%","8,08",2017-02-18,"SPRI5"
"SSBR3","8,54%","0,54%","0,33","65,78%","9,56","2.047.020,00","1,62","46,24%","-1,30","0,315","13,89","6,92","60,35","0,62","4,552","2.454.010.000,00","1,03%","4,80%","20,00",2017-02-18,"SSBR3"
"SULA11","12,56%","2,70%","0,19","-0,31%","92,78","8.744.550,00","1,82","4,21%","-7,78","0,320","0,98","-134,51","9,90","1,38","0,416","4.883.100.000,00","13,90%","-0,57%","19,72",2017-02-18,"SULA11"
"SULT3","-18,59%","0,00%","1,03","-53,39%","-5,59","340,24","0,18","-2,51%","-0,01","0,010","-0,04","-0,32","-68,01","0,06","0,172","190.296.000,00","-0,09%","-3,24%","0,95",2017-02-18,"SULT3"
"SULT4","-18,59%","0,00%","1,03","-53,39%","-5,50","7.598,64","0,18","-2,51%","-0,01","0,008","-0,03","-0,24","-50,11","0,05","0,127","190.296.000,00","-0,09%","-3,24%","0,70",2017-02-18,"SULT4"
"SUZB5","20,60%","2,10%","1,38","25,04%","10,22","46.280.900,00","2,10","17,12%","-1,33","0,510","3,57","6,05","8,86","1,48","1,516","10.143.500.000,00","16,68%","9,85%","13,55",2017-02-18,"SUZB5"
"TAEE11","5,90%","12,55%","0,84","85,37%","8,18","27.235.400,00","3,94","63,54%","-3,24","0,845","4,57","5,60","7,52","1,72","4,780","4.312.760.000,00","22,87%","15,53%","21,54",2017-02-18,"TAEE11"
"TCNO3","16,77%","0,00%","3,34","-10,61%","-16,01","21.380,10","0,34","-17,39%","-0,06","0,044","-0,14","-2,84","-1,73","0,72","0,301","14.607.000,00","-41,62%","-1,94%","1,59",2017-02-18,"TCNO3"
"TCNO4","16,77%","0,00%","3,34","-10,61%","-15,93","64.785,70","0,34","-17,39%","-0,05","0,043","-0,14","-2,77","-1,69","0,70","0,293","14.607.000,00","-41,62%","-1,94%","1,55",2017-02-18,"TCNO4"
"TCSA3","-22,99%","3,09%","0,69","-48,69%","-9,92","3.816.350,00","1,59","-9,49%","6,63","0,258","1,26","-4,57","-31,19","0,54","2,224","1.669.700.000,00","-1,74%","-5,85%","3,31",2017-02-18,"TCSA3"
"TECN3","2,94%","1,09%","0,32","0,70%","160,37","114.648,00","3,34","-6,11%","3,43","0,448","1,14","132,13","-15,16","0,79","0,926","442.289.000,00","-5,21%","0,39%","4,45",2017-02-18,"TECN3"
"TEKA3","-4,60%","0,00%","-0,31","-2,71%","-95,05","14,40","0,03","-82,40%","-0,00","0,003","-0,00","-0,70","-0,02","-0,00","0,019","-1.296.850.000,00","10,13%","-0,77%","6,05",2017-02-18,"TEKA3"
"TEKA4","-4,60%","0,00%","-0,31","-2,71%","-95,51","6.376,07","0,03","-82,40%","-0,00","0,006","-0,00","-1,16","-0,04","-0,00","0,032","-1.296.850.000,00","10,13%","-0,77%","10,00",2017-02-18,"TEKA4"
"TELB3","130,84%","0,00%","-0,55","-394,55%","-3,46","2.276,62","2,49","0,00%","-0,18","0,193","3,43","-2,62","0,00","-1,18","10,323","-450.158.000,00","0,00%","-7,72%","45,00",2017-02-18,"TELB3"
"TELB4","130,84%","0,00%","-0,55","-394,55%","-2,99","570.142,00","2,49","0,00%","-0,15","0,159","2,82","-2,15","0,00","-0,97","8,485","-450.158.000,00","0,00%","-7,72%","36,99",2017-02-18,"TELB4"
"TENE7","0,00%","0,00%","0,00","0,00%","-139,71","23,33","0,00","0,00%","0,00","0,157","0,00","-2,89","-0,19","-0,02","0,000","-59.024.000,00","10,70%","0,00%","9,80",2017-02-18,"TENE7"
"TGMA3","-14,97%","0,00%","0,93","5,98%","14,45","1.563.850,00","1,66","-0,27%","-7,59","0,844","4,59","12,70","-278,82","1,98","0,759","365.895.000,00","-0,71%","9,75%","11,00",2017-02-18,"TGMA3"
"TIET11","12,83%","13,67%","0,87","-10,02%","10,01","11.348.300,00","0,84","-7,78%","-3,53","1,472","-44,29","8,63","14,15","3,66","-0,865","1.657.570.000,00","25,88%","21,39%","15,42",2017-02-18,"TIET11"
"TIET3","12,83%","12,97%","0,87","-10,02%","10,48","23.401,80","0,84","-7,78%","-3,72","1,552","-46,68","9,10","14,91","3,86","-0,911","1.657.570.000,00","25,88%","21,39%","3,25",2017-02-18,"TIET3"
"TIET4","12,83%","13,69%","0,87","-10,02%","10,00","74.724,50","0,84","-7,78%","-3,52","1,470","-44,23","8,62","14,13","3,66","-0,863","1.657.570.000,00","25,88%","21,39%","3,08",2017-02-18,"TIET4"
"TIMP3","-5,04%","1,95%","0,39","12,46%","12,94","26.683.900,00","1,39","4,81%","-3,27","0,694","8,52","12,36","32,07","1,40","1,541","17.187.500.000,00","4,37%","7,61%","9,94",2017-02-18,"TIMP3"
"TKNO4","-6,95%","0,00%","0,00","-18,17%","-2,53","785,10","5,02","-11,32%","1,18","0,392","1,07","-4,33","-6,97","0,45","0,787","195.187.000,00","-6,43%","-11,62%","29,70",2017-02-18,"TKNO4"
"TOTS3","11,15%","3,51%","0,53","39,25%","5,64","14.099.300,00","1,62","5,41%","-18,73","1,789","11,67","5,13","36,98","3,54","2,012","1.230.340.000,00","9,59%","39,42%","26,33",2017-02-18,"TOTS3"
"TOYB3","-47,86%","0,00%","-1,44","-191,24%","-3,88","27.580,80","0,46","-56,11%","-0,81","0,995","-1,21","-1,67","-5,68","-1,08","3,187","-24.515.000,00","18,95%","-67,90%","4,99",2017-02-18,"TOYB3"
"TOYB4","-47,86%","0,00%","-1,44","-191,24%","-4,03","160.745,00","0,46","-56,11%","-0,88","1,085","-1,32","-1,82","-6,19","-1,17","3,474","-24.515.000,00","18,95%","-67,90%","5,44",2017-02-18,"TOYB4"
"TPIS3","25,87%","6,68%","2,32","20,39%","9,41","1.395.120,00","0,11","-4,48%","-0,17","0,118","-0,27","1,79","-9,37","0,52","0,365","1.167.660.000,00","-5,55%","6,94%","3,45",2017-02-18,"TPIS3"
"TRIS3","-16,71%","4,73%","0,42","4,13%","29,21","34.784,50","2,72","2,42%","0,77","0,226","0,51","15,25","29,08","0,40","0,630","502.819.000,00","1,37%","1,57%","2,75",2017-02-18,"TRIS3"
"TRPL3","20,95%","2,48%","0,12","90,90%","1,53","20.151,80","2,96","63,47%","-2,95","0,658","10,29","1,43","2,06","0,98","1,302","10.054.000.000,00","47,76%","47,90%","60,00",2017-02-18,"TRPL3"
"TRPL4","20,95%","2,21%","0,12","90,90%","1,70","25.601.700,00","2,96","63,47%","-3,31","0,739","11,54","1,61","2,31","1,10","1,461","10.054.000.000,00","47,76%","47,90%","67,30",2017-02-18,"TRPL4"
"TRPN3","-10,82%","0,87%","0,00","27,72%","11,37","40.873,50","14,24","9,07%","5,23","4,785","5,23","13,68","41,80","5,14","3,792","43.768.000,00","12,30%","197,48%","5,10",2017-02-18,"TRPN3"
"TUPY3","6,44%","0,00%","0,85","7,36%","10,25","4.912.830,00","2,50","1,05%","-4,50","0,364","1,30","7,35","51,24","0,80","0,540","2.246.590.000,00","1,57%","7,08%","12,54",2017-02-18,"TUPY3"
"TXRX3","-1,74%","0,00%","-0,65","-5,10%","-69,68","1.350,71","0,09","-218,07%","-0,03","0,081","-0,03","-3,44","-0,08","-0,03","0,175","-444.892.000,00","41,66%","-3,18%","3,50",2017-02-18,"TXRX3"
"TXRX4","-1,74%","0,00%","-0,65","-5,10%","-68,98","10.008,00","0,09","-218,07%","-0,02","0,064","-0,02","-2,73","-0,06","-0,03","0,139","-444.892.000,00","41,66%","-3,18%","2,78",2017-02-18,"TXRX4"
"UCAS3","-8,72%","0,00%","0,00","-3,92%","-20,15","787.225,00","1,87","0,52%","4,30","0,726","3,71","-25,06","187,80","0,97","0,983","198.350.000,00","0,52%","-3,50%","2,91",2017-02-18,"UCAS3"
"UGPA3","10,85%","2,33%","1,07","3,88%","14,42","70.481.200,00","2,68","2,07%","-15,68","1,849","6,21","12,51","23,63","4,56","0,486","8.394.210.000,00","19,30%","18,60%","68,81",2017-02-18,"UGPA3"
"UNIP3","38,45%","3,72%","0,58","25,43%","3,78","15.490,80","1,16","11,04%","-1,77","0,380","10,99","2,76","6,37","0,72","0,703","905.045.000,00","11,23%","16,76%","7,75",2017-02-18,"UNIP3"
"UNIP5","38,45%","5,91%","0,58","25,43%","3,79","5.317,12","1,16","11,04%","-1,77","0,381","11,05","2,78","6,40","0,72","0,707","905.045.000,00","11,23%","16,76%","7,79",2017-02-18,"UNIP5"
"UNIP6","38,45%","4,37%","0,58","25,43%","3,61","217.223,00","1,16","11,04%","-1,65","0,356","10,30","2,59","5,97","0,67","0,659","905.045.000,00","11,23%","16,76%","7,26",2017-02-18,"UNIP6"
"USIM3","-8,61%","0,00%","0,50","-5,29%","-35,67","293.040,00","3,73","-22,99%","-2,70","0,452","2,57","-25,74","-6,78","0,85","1,361","13.992.300.000,00","-12,53%","-1,98%","9,49",2017-02-18,"USIM3"
"USIM5","-8,61%","0,00%","0,50","-5,29%","-24,91","74.104.100,00","3,73","-22,99%","-1,57","0,263","1,50","-14,97","-3,95","0,49","0,792","13.992.300.000,00","-12,53%","-1,98%","5,52",2017-02-18,"USIM5"
"USIM6","-8,61%","0,00%","0,50","-5,29%","-23,09","911,00","3,73","-22,99%","-1,38","0,231","1,31","-13,15","-3,47","0,43","0,696","13.992.300.000,00","-12,53%","-1,98%","4,85",2017-02-18,"USIM6"
"VALE3","-1,69%","0,49%","0,79","22,47%","12,71","144.867.000,00","1,80","-24,40%","-1,34","0,535","6,31","8,61","-8,28","1,38","1,934","128.934.000.000,00","-16,61%","6,83%","33,82",2017-02-18,"VALE3"
"VALE5","-1,69%","0,52%","0,79","22,47%","12,23","604.894.000,00","1,80","-24,40%","-1,27","0,505","5,95","8,12","-7,81","1,30","1,824","128.934.000.000,00","-16,61%","6,83%","31,91",2017-02-18,"VALE5"
"VIVR3","-30,33%","0,00%","-2,48","3.251,08%","-9,96","857.935,00","0,64","10.428,30%","-0,01","0,008","-0,02","-0,09","-0,03","-0,02","-2,847","-428.732.000,00","78,48%","-10,12%","2,70",2017-02-18,"VIVR3"
"VIVT3","5,86%","3,15%","0,13","14,26%","11,22","1.150.990,00","0,90","9,33%","-4,43","0,637","-32,67","10,71","16,38","0,94","1,528","68.663.700.000,00","5,76%","6,83%","38,30",2017-02-18,"VIVT3"
"VIVT4","5,86%","2,81%","0,13","14,26%","13,73","64.151.400,00","0,90","9,33%","-5,47","0,786","-40,33","13,22","20,22","1,16","1,886","68.663.700.000,00","5,76%","6,83%","47,28",2017-02-18,"VIVT4"
"VLID3","17,50%","3,96%","0,86","11,00%","10,30","8.804.470,00","1,72","4,78%","-9,74","0,723","3,76","8,10","12,27","1,57","0,891","994.813.000,00","12,81%","11,96%","24,14",2017-02-18,"VLID3"
"VTLM3","0,00%","0,00%","0,00","0,00%","-0,91","66.360,20","0,00","0,00%","0,00","2,525","0,00","-0,92","-46,32","-1,98","0,000","-3.025.000,00","4,26%","0,00%","0,79",2017-02-18,"VTLM3"
"VULC3","-13,22%","0,00%","15,35","8,06%","15,78","76.066,70","0,97","-2,55%","-1,27","0,486","-25,15","7,87","-24,87","14,91","0,635","37.654.000,00","-59,93%","6,66%","3,03",2017-02-18,"VULC3"
"VVAR11","-5,65%","0,07%","0,75","5,57%","6,16","13.779.300,00","1,13","-1,83%","-2,98","0,330","4,82","4,52","-13,77","1,13","0,252","4.141.000.000,00","-8,21%","10,19%","10,88",2017-02-18,"VVAR11"
"VVAR3","-5,65%","0,07%","0,75","5,57%","6,16","65.778,40","1,13","-1,83%","-2,97","0,330","4,81","4,51","-13,75","1,13","0,251","4.141.000.000,00","-8,21%","10,19%","3,62",2017-02-18,"VVAR3"
"WEGE3","13,94%","2,21%","0,81","12,64%","22,37","25.860.700,00","3,04","12,21%","18,19","2,015","4,46","22,35","23,32","4,70","2,826","5.851.970.000,00","20,14%","14,67%","17,02",2017-02-18,"WEGE3"
"WHRL3","4,21%","0,00%","0,06","5,74%","7,75","10.201,10","1,22","3,13%","13,95","0,771","6,61","8,51","16,10","2,01","0,489","2.382.940.000,00","12,45%","16,71%","3,18",2017-02-18,"WHRL3"
"WHRL4","4,21%","0,00%","0,06","5,74%","7,85","16.896,20","1,22","3,13%","14,12","0,781","6,69","8,62","16,31","2,03","0,495","2.382.940.000,00","12,45%","16,71%","3,22",2017-02-18,"WHRL4"
"WSON33","5,63%","0,00%","0,72","23,22%","8,42","1.071.360,00","1,54","20,00%","-2,29","0,715","10,51","6,12","7,15","1,45","1,422","1.622.380.000,00","20,24%","13,93%","33,00",2017-02-18,"WSON33"
